ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,15m,5,657,False,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-05-07T09:45:00.000000000,969.315,2026-05-11T10:00:00.000000000,740.19,1021.43,713.5101,10.54,67,0,False,2.1,97256,0,123
UI,BOUNCED_WAITING,0,2,196.5,1,-2.9,False,0.2,15m,5,1299,False,1d,2020,False,162937,71727,198800.5,114,9,1d.2105t | 1d.1905t | 1d.1890t~,2026-05-08T07:00:00.000000000,920.0,2026-05-11T10:00:00.000000000,740.19,927.01,713.5101,7.0,37,0,False,2.1,97256,0,123
DNA,BOUNCED_WAITING,0,0,83.4,2,-0.5,False,3.9,1d,20,23,True,5m,12,True,5427,1021,5937.5,39,12,1d.39t | 1d.36t | 1d.36t,2026-05-04T10:45:00.000000000,10.47,2026-05-07T16:30:00.000000000,8.73,10.5,8.4431,6.17,6,0,False,0.84,1261354,0,51
ONEG,BOUNCED_WAITING,0,0,56.4,3,-2.8,False,4.2,1d,20,455,True,1m,6,False,4044,10537,9312.5,210,57,1d.455t~ | 1d.112t | 1d.49t,2026-05-07T07:30:00.000000000,1.87,2026-05-07T10:00:00.000000000,1.0875,2.01,0.7884,3.08,10,0,False,0.57,2555458,0,267
HUBS,BOUNCED_WAITING,0,2,103.8,4,-0.9,False,3.2,1h,8,115,False,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-04T10:15:00.000000000,253.78,2026-05-08T10:00:00.000000000,189.88,264.81,187.7388,34.99,16,0,False,1.04,1536127,0,89
HUBS,BOUNCED_WAITING,0,2,103.8,4,-0.9,False,3.2,1h,8,585,False,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-01T09:30:00.000000000,240.32,2026-05-08T10:00:00.000000000,189.88,260.01,187.7388,32.75,16,0,False,1.04,1536127,0,89
VSECU,BOUNCED_CLEAN,0,1,7.3,4,0.4,False,5.0,15m,5,635,True,3m,243,False,11758,4593,14054.5,36,9,1d.112t | 1d.76t | 1d.35t,2026-04-27T12:15:00.000000000,48.89,2026-05-06T09:30:00.000000000,51.08,49.0,46.3421,,0,0,False,0.07,46975,0,45
DNA,BOUNCED_CLEAN,0,0,83.4,2,-0.5,False,3.2,15m,5,22,True,5m,12,True,5427,1021,5937.5,39,12,1d.39t | 1d.36t | 1d.36t,2026-05-08T08:00:00.000000000,9.22,2026-05-08T09:30:00.000000000,8.73,9.26,8.4431,1.85,0,0,False,0.84,1261354,0,51
PVLA,BOUNCED_WAITING,0,1,63.3,4,-0.9,False,4.1,4h,12,334,False,1h,492,True,20346,13144,26918.0,35,10,1d.309t | 1d.131t~ | 1d.130t,2026-04-22T10:15:00.000000000,136.86,2026-05-07T10:15:00.000000000,120.72,145.0,110.4387,2.36,19,0,False,0.63,163567,0,45
PVLA,BOUNCED_WAITING,0,1,63.3,4,-0.9,False,4.1,4h,12,209,False,1h,492,True,20346,13144,26918.0,35,10,1d.309t | 1d.131t~ | 1d.130t,2026-04-15T09:30:00.000000000,128.0001,2026-05-07T10:15:00.000000000,120.72,139.78,110.4387,1.85,19,0,False,0.63,163567,0,45
CG,BOUNCED_WAITING,0,1,68.0,4,0.3,False,4.2,4h,12,31,False,1m,50,False,26323,720,26683.0,42,3,1d.228t | 1d.154t | 1d.96t,2026-04-14T16:30:00.000000000,51.49,2026-05-07T09:15:00.000000000,49.48,54.59,47.904,3.24,14,0,False,0.68,2970816,0,45
HUBS,BOUNCED_WAITING,0,2,103.8,4,-0.9,False,3.2,15m,5,100,False,5m,72,True,452071,86451,495296.5,85,4,1d.4869t | 1d.4233t~ | 1d.1440t,2026-05-07T16:45:00.000000000,200.55,2026-05-08T10:00:00.000000000,189.88,214.0,187.7388,11.26,4,0,False,1.04,1536127,0,89
SYM,BOUNCED_WAITING,0,2,78.7,5,1.6,False,3.2,15m,5,46,True,1h,105,True,20530,11446,26253.0,23,15,1d.546t | 1d.250t | 1d.237t~,2026-04-24T09:45:00.000000000,61.935,2026-05-08T10:30:00.000000000,52.94,63.17,50.3491,3.95,13,0,False,0.8,1542567,0,38
DIN,BOUNCED_WAITING,0,1,80.0,5,0.2,False,4.9,4h,12,65,False,3m,45,False,14692,1255,15319.5,53,6,1d.74t | 1d.60t | 1d.57t~,2026-04-20T10:15:00.000000000,30.095,2026-05-06T15:30:00.000000000,28.9,31.635,26.6266,1.2,12,0,False,0.79,309915,0,59
BKKT,BOUNCED_WAITING,0,2,179.8,3,-0.5,False,0.0,4h,12,20,True,1m,3,False,39566,408,39770.0,81,2,1d.633t | 1d.173t | 1d.151t,2026-05-11T04:45:00.000000000,10.17,2026-05-11T13:15:00.000000000,10.045,10.59,9.8802,3.31,22,0,False,1.89,1121311,0,83
NTRA,BOUNCED_WAITING,0,0,97.3,2,-1.6,False,3.1,4h,12,263,False,5m,397,True,46844,3076,48382.0,39,9,1d.787t | 1d.550t | 1d.252t~,2026-04-15T09:30:00.000000000,218.105,2026-05-08T12:00:00.000000000,197.855,230.5,189.6499,3.98,26,0,False,0.99,1303047,0,48
OFRM,BOUNCED_WAITING,0,1,54.0,4,0.3,False,3.2,1h,8,32,False,1m,7,False,8937,0,8937.0,75,0,1d.51t | 1d.21t | 1d.19t,2026-04-17T09:15:00.000000000,16.13,2026-05-08T09:45:00.000000000,15.36,17.03,14.481,1.9,3,0,False,0.52,383528,0,75
WGS,BOUNCED_WAITING,0,2,61.2,4,1.0,False,5.0,15m,5,83,False,1m,9,False,97293,12807,103696.5,99,19,1d.229t | 1d.188t | 1d.181t,2026-04-23T09:30:00.000000000,66.93,2026-05-06T14:45:00.000000000,39.24,69.0,33.6675,5.34,16,0,False,0.62,1562119,0,118
WGS,BOUNCED_WAITING,0,2,61.2,4,1.0,False,5.0,15m,5,85,True,1m,9,False,97293,12807,103696.5,99,19,1d.229t | 1d.188t | 1d.181t,2026-04-27T09:45:00.000000000,68.0,2026-05-06T14:45:00.000000000,39.24,68.12,33.6675,5.18,11,0,False,0.62,1562119,0,118
CG,BOUNCED_WAITING,0,1,68.0,4,0.3,False,4.2,15m,5,27,False,1m,50,False,26323,720,26683.0,42,3,1d.228t | 1d.154t | 1d.96t,2026-05-06T09:15:00.000000000,52.99,2026-05-07T09:15:00.000000000,49.48,53.49,47.904,2.54,3,0,False,0.68,2970816,0,45
VSECU,BOUNCED_WAITING,0,1,7.3,4,0.4,False,5.0,15m,5,238,True,3m,243,False,11758,4593,14054.5,36,9,1d.112t | 1d.76t | 1d.35t,2026-04-21T10:15:00.000000000,57.19,2026-05-06T09:30:00.000000000,51.08,57.26,46.3421,1.3,8,0,False,0.07,46975,0,45
NTRA,BOUNCED_WAITING,0,0,97.3,2,-1.6,False,3.1,15m,5,86,False,5m,397,True,46844,3076,48382.0,39,9,1d.787t | 1d.550t | 1d.252t~,2026-05-08T08:45:00.000000000,216.0,2026-05-08T12:00:00.000000000,197.855,218.99,189.6499,2.58,15,0,False,0.99,1303047,0,48
CLIK,BOUNCED_WAITING,0,7,1027.3,6,14.6,False,0.1,4h,12,21,False,1h,2,True,20738,1336,21406.0,92,13,1d.101t | 1d.83t | 1d.57t,2026-05-11T07:15:00.000000000,4.7901,2026-05-11T10:45:00.000000000,2.4299,5.5,1.8464,5.26,25,0,True,21.01,4308671,0,105
CLIK,BOUNCED_WAITING,0,7,1027.3,6,14.6,False,0.1,4h,12,21,True,1h,2,True,20738,1336,21406.0,92,13,1d.101t | 1d.83t | 1d.57t,2026-04-21T06:30:00.000000000,4.39,2026-05-11T10:45:00.000000000,2.4299,4.78,1.8464,4.03,25,0,True,21.01,4308671,0,105
PSIX,BOUNCED_WAITING,0,4,358.9,4,-5.6,False,0.0,15m,5,141,True,4h,123,False,30559,6589,33853.5,27,5,1d.1129t | 1d.586t | 1d.256t,2026-04-23T07:15:00.000000000,83.0,2026-05-11T13:15:00.000000000,66.059,83.0189,62.8241,5.24,10,0,True,4.13,535185,0,32
